================================================================================
ZERO-SHOT EVALUATION SUMMARY
================================================================================

Model Information:
  Name: CONCH
  Device: cuda
  Parameters: 395,232,769

Aggregate Statistics Across All Prompts:
--------------------------------------------------------------------------------
accuracy                 : 0.5612 ± 0.0888 [0.3839, 0.7325]
f1                       : 0.4886 ± 0.2336 [0.0415, 0.7261]
balanced_accuracy        : 0.5612 ± 0.0888 [0.3838, 0.7325]

Best Performing Prompts:
--------------------------------------------------------------------------------
  accuracy: clinical_1 (0.7325)
  f1: descriptive_3 (0.7261)

Per-Prompt Results:
--------------------------------------------------------------------------------
Prompt                 Accuracy         F1    AUC-ROC
--------------------------------------------------------------------------------
anatomical_1             0.5191     0.6472     0.6367
anatomical_2             0.5423     0.1621     0.7652
anatomical_3             0.5571     0.6388     0.5572
anatomical_4             0.4934     0.0415     0.5299
anatomical_5             0.5543     0.2422     0.6614
clinical_1               0.7325     0.7098     0.8046
clinical_2               0.5558     0.6272     0.5129
clinical_3               0.5750     0.4201     0.6281
clinical_4               0.5115     0.3458     0.6108
clinical_5               0.3839     0.2754     0.2924
descriptive_1            0.5365     0.6385     0.5336
descriptive_2            0.6978     0.7087     0.7485
descriptive_3            0.6955     0.7261     0.7604
descriptive_4            0.7012     0.6044     0.8321
descriptive_5            0.5495     0.6800     0.6667
minimal_1                0.5413     0.6581     0.5929
minimal_2                0.4800     0.1327     0.5049
minimal_3                0.4499     0.1364     0.3589
minimal_4                0.6466     0.7102     0.7607
minimal_5                0.5011     0.6664     0.5875
