================================================================================
ZERO-SHOT EVALUATION SUMMARY
================================================================================

Model Information:
  Name: KEEP
  Device: cuda
  Parameters: 414,210,817

Aggregate Statistics Across All Prompts:
--------------------------------------------------------------------------------
accuracy                 : 0.6617 ± 0.0958 [0.5106, 0.8332]
f1                       : 0.7284 ± 0.0574 [0.6111, 0.8382]
balanced_accuracy        : 0.6618 ± 0.0957 [0.5108, 0.8332]

Best Performing Prompts:
--------------------------------------------------------------------------------
  accuracy: clinical_3 (0.8332)
  f1: clinical_3 (0.8382)

Per-Prompt Results:
--------------------------------------------------------------------------------
Prompt                 Accuracy         F1    AUC-ROC
--------------------------------------------------------------------------------
anatomical_1             0.7899     0.8135     0.9106
anatomical_2             0.7125     0.7534     0.8518
anatomical_3             0.6329     0.7245     0.8818
anatomical_4             0.7652     0.7982     0.9051
anatomical_5             0.7631     0.7806     0.8679
clinical_1               0.6819     0.6537     0.7761
clinical_2               0.5106     0.6712     0.8825
clinical_3               0.8332     0.8382     0.9198
clinical_4               0.6385     0.6111     0.7318
clinical_5               0.7296     0.7572     0.8423
descriptive_1            0.5986     0.7109     0.8878
descriptive_2            0.7048     0.7437     0.8251
descriptive_3            0.7766     0.8035     0.8987
descriptive_4            0.6916     0.7344     0.7961
descriptive_5            0.5914     0.7069     0.8531
minimal_1                0.5320     0.6809     0.8822
minimal_2                0.5696     0.6964     0.8398
minimal_3                0.6517     0.7318     0.8567
minimal_4                0.5288     0.6766     0.8130
minimal_5                0.5320     0.6808     0.8889
