================================================================================
ZERO-SHOT EVALUATION SUMMARY
================================================================================

Model Information:
  Name: PathGen-CLIP
  Device: cuda
  Parameters: 149,620,737

Aggregate Statistics Across All Prompts:
--------------------------------------------------------------------------------
accuracy                 : 0.6888 ± 0.0830 [0.5297, 0.7969]
f1                       : 0.5874 ± 0.1850 [0.2384, 0.8098]
balanced_accuracy        : 0.6887 ± 0.0830 [0.5295, 0.7969]

Best Performing Prompts:
--------------------------------------------------------------------------------
  accuracy: anatomical_1 (0.7969)
  f1: anatomical_1 (0.8098)

Per-Prompt Results:
--------------------------------------------------------------------------------
Prompt                 Accuracy         F1    AUC-ROC
--------------------------------------------------------------------------------
anatomical_1             0.7969     0.8098     0.8907
anatomical_2             0.5513     0.2589     0.6678
anatomical_3             0.6391     0.4663     0.7905
anatomical_4             0.7332     0.6725     0.8560
anatomical_5             0.7040     0.6988     0.7892
clinical_1               0.7382     0.6817     0.8376
clinical_2               0.7875     0.7678     0.8653
clinical_3               0.5890     0.3114     0.8181
clinical_4               0.6719     0.5635     0.7770
clinical_5               0.7133     0.6207     0.8429
descriptive_1            0.7835     0.7665     0.8583
descriptive_2            0.7948     0.7815     0.8835
descriptive_3            0.6956     0.5806     0.8759
descriptive_4            0.6683     0.5890     0.7564
descriptive_5            0.6006     0.4123     0.7400
minimal_1                0.7762     0.8029     0.8942
minimal_2                0.6481     0.5910     0.7347
minimal_3                0.5877     0.3388     0.7733
minimal_4                0.5297     0.2384     0.6170
minimal_5                0.7667     0.7952     0.8808
