================================================================================
ZERO-SHOT EVALUATION SUMMARY
================================================================================

Model Information:
  Name: PLIP
  Device: mps
  Parameters: 151,277,313

Aggregate Statistics Across All Prompts:
--------------------------------------------------------------------------------
accuracy                 : 0.5658 ± 0.0788 [0.3988, 0.6933]
f1                       : 0.4734 ± 0.2218 [0.0000, 0.7475]
balanced_accuracy        : 0.5658 ± 0.0788 [0.3988, 0.6933]

Best Performing Prompts:
--------------------------------------------------------------------------------
  accuracy: descriptive_1 (0.6933)
  f1: descriptive_1 (0.7475)

Per-Prompt Results:
--------------------------------------------------------------------------------
Prompt                 Accuracy         F1    AUC-ROC
--------------------------------------------------------------------------------
anatomical_1             0.5644     0.4228     0.6461
anatomical_2             0.4172     0.5778     0.4874
anatomical_3             0.5000     0.0000     0.6950
anatomical_4             0.5583     0.3793     0.6243
anatomical_5             0.6227     0.6854     0.6790
clinical_1               0.5491     0.2462     0.6960
clinical_2               0.6472     0.7242     0.6248
clinical_3               0.5000     0.0000     0.6441
clinical_4               0.5368     0.1838     0.5693
clinical_5               0.6288     0.6513     0.6676
descriptive_1            0.6933     0.7475     0.8593
descriptive_2            0.6258     0.5197     0.6988
descriptive_3            0.4632     0.3243     0.5555
descriptive_4            0.5736     0.5443     0.6231
descriptive_5            0.6411     0.6087     0.6783
minimal_1                0.6595     0.5811     0.7479
minimal_2                0.6166     0.7204     0.7723
minimal_3                0.5215     0.6736     0.6387
minimal_4                0.3988     0.4302     0.3961
minimal_5                0.5982     0.4473     0.7109
