================================================================================
ZERO-SHOT EVALUATION SUMMARY
================================================================================

Model Information:
  Name: QuiltNet
  Device: mps
  Parameters: 151,277,313

Aggregate Statistics Across All Prompts:
--------------------------------------------------------------------------------
accuracy                 : 0.6018 ± 0.0781 [0.4018, 0.7485]
f1                       : 0.6430 ± 0.0890 [0.3849, 0.7500]
balanced_accuracy        : 0.6018 ± 0.0781 [0.4018, 0.7485]

Best Performing Prompts:
--------------------------------------------------------------------------------
  accuracy: clinical_2 (0.7485)
  f1: minimal_2 (0.7500)

Per-Prompt Results:
--------------------------------------------------------------------------------
Prompt                 Accuracy         F1    AUC-ROC
--------------------------------------------------------------------------------
anatomical_1             0.5920     0.6145     0.6216
anatomical_2             0.5644     0.6432     0.5674
anatomical_3             0.5859     0.5230     0.6077
anatomical_4             0.6196     0.6788     0.6655
anatomical_5             0.6043     0.6366     0.6266
clinical_1               0.5123     0.6035     0.6200
clinical_2               0.7485     0.7092     0.8490
clinical_3               0.5000     0.6091     0.4812
clinical_4               0.4018     0.3849     0.3910
clinical_5               0.6442     0.7026     0.7003
descriptive_1            0.5613     0.6898     0.8195
descriptive_2            0.5706     0.6804     0.7374
descriptive_3            0.5491     0.6651     0.6194
descriptive_4            0.6933     0.6644     0.7234
descriptive_5            0.5675     0.6094     0.6344
minimal_1                0.7147     0.7493     0.7704
minimal_2                0.6687     0.7500     0.7912
minimal_3                0.6503     0.7324     0.8111
minimal_4                0.6534     0.7196     0.6282
minimal_5                0.6350     0.4936     0.7377
